Lyrics,pos,pos_score,neg,neg_score,total,total_score
1번,긍정,12,부정,3,점수,-9
2번,긍정,7,부정,5,점수,-2
3번,긍정,4,부정,3,점수,-1
4번,긍정,9,부정,6,점수,-3
5번,긍정,9,부정,2,점수,-7
6번,긍정,7,부정,6,점수,-1
7번,긍정,7,부정,4,점수,-3
8번,긍정,11,부정,7,점수,-4
9번,긍정,5,부정,7,점수,2
10번,긍정,10,부정,4,점수,-6
11번,긍정,3,부정,6,점수,3
12번,긍정,17,부정,5,점수,-12
13번,긍정,12,부정,3,점수,-9
14번,긍정,4,부정,13,점수,9
15번,긍정,8,부정,8,점수,0
16번,긍정,9,부정,4,점수,-5
17번,긍정,17,부정,8,점수,-9
18번,긍정,6,부정,7,점수,1
19번,긍정,6,부정,1,점수,-5
20번,긍정,6,부정,1,점수,-5
21번,긍정,3,부정,2,점수,-1
22번,긍정,1,부정,2,점수,1
23번,긍정,2,부정,1,점수,-1
24번,긍정,3,부정,1,점수,-2
25번,긍정,12,부정,5,점수,-7
26번,긍정,7,부정,5,점수,-2
27번,긍정,14,부정,7,점수,-7
28번,긍정,7,부정,2,점수,-5
29번,긍정,9,부정,2,점수,-7
30번,긍정,2,부정,3,점수,1
31번,긍정,7,부정,1,점수,-6
32번,긍정,3,부정,1,점수,-2
33번,긍정,6,부정,5,점수,-1
34번,긍정,5,부정,2,점수,-3
35번,긍정,10,부정,4,점수,-6
36번,긍정,2,부정,3,점수,1
37번,긍정,2,부정,3,점수,1
38번,긍정,8,부정,5,점수,-3
39번,긍정,11,부정,2,점수,-9
40번,긍정,11,부정,3,점수,-8
41번,긍정,4,부정,1,점수,-3
42번,긍정,4,부정,7,점수,3
43번,긍정,5,부정,3,점수,-2
44번,긍정,4,부정,5,점수,1
45번,긍정,11,부정,9,점수,-2
46번,긍정,4,부정,8,점수,4
47번,긍정,8,부정,2,점수,-6
48번,긍정,7,부정,4,점수,-3
49번,긍정,7,부정,6,점수,-1
50번,긍정,9,부정,5,점수,-4
51번,긍정,6,부정,4,점수,-2
52번,긍정,3,부정,4,점수,1
53번,긍정,8,부정,3,점수,-5
54번,긍정,6,부정,7,점수,1
55번,긍정,13,부정,2,점수,-11
56번,긍정,5,부정,0,점수,-5
57번,긍정,2,부정,2,점수,0
58번,긍정,2,부정,5,점수,3
59번,긍정,4,부정,4,점수,0
60번,긍정,6,부정,2,점수,-4
61번,긍정,5,부정,2,점수,-3
62번,긍정,5,부정,4,점수,-1
63번,긍정,0,부정,5,점수,5
64번,긍정,2,부정,1,점수,-1
65번,긍정,3,부정,3,점수,0
66번,긍정,4,부정,0,점수,-4
67번,긍정,7,부정,4,점수,-3
68번,긍정,5,부정,3,점수,-2
69번,긍정,9,부정,3,점수,-6
70번,긍정,15,부정,14,점수,-1
71번,긍정,11,부정,5,점수,-6
72번,긍정,2,부정,4,점수,2
73번,긍정,5,부정,0,점수,-5
74번,긍정,3,부정,1,점수,-2
75번,긍정,9,부정,2,점수,-7
76번,긍정,8,부정,2,점수,-6
77번,긍정,10,부정,5,점수,-5
78번,긍정,7,부정,2,점수,-5
79번,긍정,6,부정,6,점수,0
80번,긍정,9,부정,11,점수,2
81번,긍정,1,부정,2,점수,1
82번,긍정,9,부정,1,점수,-8
83번,긍정,3,부정,5,점수,2
84번,긍정,7,부정,1,점수,-6
85번,긍정,17,부정,4,점수,-13
86번,긍정,8,부정,7,점수,-1
87번,긍정,4,부정,3,점수,-1
88번,긍정,9,부정,2,점수,-7
89번,긍정,10,부정,5,점수,-5
90번,긍정,17,부정,12,점수,-5
91번,긍정,7,부정,4,점수,-3
92번,긍정,8,부정,5,점수,-3
93번,긍정,10,부정,11,점수,1
94번,긍정,3,부정,2,점수,-1
95번,긍정,2,부정,3,점수,1
96번,긍정,1,부정,6,점수,5
97번,긍정,2,부정,6,점수,4
98번,긍정,8,부정,13,점수,5
99번,긍정,5,부정,10,점수,5
100번,긍정,6,부정,3,점수,-3
101번,긍정,2,부정,5,점수,3
102번,긍정,6,부정,7,점수,1
103번,긍정,11,부정,6,점수,-5
104번,긍정,10,부정,8,점수,-2
105번,긍정,2,부정,3,점수,1
106번,긍정,3,부정,5,점수,2
107번,긍정,6,부정,7,점수,1
108번,긍정,3,부정,6,점수,3
109번,긍정,6,부정,7,점수,1
110번,긍정,6,부정,5,점수,-1
111번,긍정,8,부정,8,점수,0
112번,긍정,3,부정,5,점수,2
113번,긍정,2,부정,4,점수,2
