Lyrics,pos,pos_score,neg,neg_score,total,total_score
1번,긍정,10,부정,6,점수,4
2번,긍정,4,부정,0,점수,4
3번,긍정,4,부정,3,점수,1
4번,긍정,6,부정,3,점수,3
5번,긍정,6,부정,1,점수,5
6번,긍정,11,부정,3,점수,8
7번,긍정,7,부정,4,점수,3
8번,긍정,7,부정,4,점수,3
9번,긍정,11,부정,2,점수,9
10번,긍정,23,부정,11,점수,12
11번,긍정,8,부정,4,점수,4
12번,긍정,9,부정,6,점수,3
13번,긍정,7,부정,6,점수,1
14번,긍정,6,부정,2,점수,4
15번,긍정,10,부정,2,점수,8
16번,긍정,9,부정,5,점수,4
17번,긍정,7,부정,5,점수,2
18번,긍정,1,부정,1,점수,0
19번,긍정,5,부정,4,점수,1
20번,긍정,3,부정,1,점수,2
21번,긍정,10,부정,9,점수,1
22번,긍정,4,부정,10,점수,-6
23번,긍정,10,부정,9,점수,1
24번,긍정,5,부정,4,점수,1
25번,긍정,9,부정,8,점수,1
26번,긍정,4,부정,1,점수,3
27번,긍정,13,부정,2,점수,11
28번,긍정,9,부정,1,점수,8
29번,긍정,11,부정,6,점수,5
30번,긍정,2,부정,2,점수,0
31번,긍정,6,부정,3,점수,3
32번,긍정,10,부정,7,점수,3
33번,긍정,3,부정,0,점수,3
34번,긍정,10,부정,3,점수,7
35번,긍정,6,부정,2,점수,4
36번,긍정,7,부정,2,점수,5
37번,긍정,4,부정,6,점수,-2
38번,긍정,6,부정,4,점수,2
39번,긍정,11,부정,5,점수,6
40번,긍정,9,부정,3,점수,6
41번,긍정,11,부정,7,점수,4
42번,긍정,10,부정,2,점수,8
43번,긍정,2,부정,4,점수,-2
44번,긍정,1,부정,3,점수,-2
45번,긍정,10,부정,3,점수,7
46번,긍정,5,부정,1,점수,4
47번,긍정,11,부정,2,점수,9
48번,긍정,6,부정,2,점수,4
49번,긍정,3,부정,5,점수,-2
50번,긍정,7,부정,5,점수,2
51번,긍정,11,부정,3,점수,8
52번,긍정,7,부정,5,점수,2
53번,긍정,4,부정,3,점수,1
54번,긍정,9,부정,5,점수,4
55번,긍정,9,부정,2,점수,7
56번,긍정,7,부정,6,점수,1
57번,긍정,7,부정,4,점수,3
58번,긍정,11,부정,7,점수,4
59번,긍정,5,부정,7,점수,-2
60번,긍정,10,부정,4,점수,6
61번,긍정,3,부정,6,점수,-3
62번,긍정,17,부정,5,점수,12
63번,긍정,14,부정,3,점수,11
64번,긍정,4,부정,12,점수,-8
65번,긍정,8,부정,8,점수,0
66번,긍정,9,부정,4,점수,5
67번,긍정,17,부정,8,점수,9
68번,긍정,6,부정,7,점수,-1
69번,긍정,6,부정,1,점수,5
70번,긍정,6,부정,1,점수,5
71번,긍정,3,부정,2,점수,1
72번,긍정,1,부정,2,점수,-1
73번,긍정,2,부정,1,점수,1
74번,긍정,3,부정,1,점수,2
75번,긍정,12,부정,5,점수,7
76번,긍정,7,부정,5,점수,2
77번,긍정,15,부정,7,점수,8
78번,긍정,7,부정,2,점수,5
79번,긍정,9,부정,2,점수,7
80번,긍정,2,부정,3,점수,-1
81번,긍정,7,부정,1,점수,6
82번,긍정,3,부정,1,점수,2
83번,긍정,6,부정,5,점수,1
84번,긍정,5,부정,2,점수,3
