,Lyrics,label,y,total_score,pos_neg
0,아침에 일어나 너에게 짧은 인사를 보낸다 아무리 멀리 떨어져 있어도 생각하고 늦은 밤 졸린 눈 비비며 너에게 편지를 쓸게 반가운 사진 속 표정만큼 아름다운 나날들이 기를 찬 바람이 불어와 어깨가 움츠러들 때에도 떠올린다면 씩씩한 표정 할 수 알고 있니 숫자 두근대는 맘은 아직까지 여기에 언제까지나 하나뿐인 좋아한단 말은 웃음 짓게 번호 하나뿐인 때로는 지쳐 울어도 번호 당신과 있고 싶습니다 우내 번호 눈을 감으니 꼭 곁에 같아 짠 하고 나타날 생각지 못한 우연히 문득 뒤돌아 봤을 꼭 있을게 꼭 하고 껴안을게 가장 반가운 얼굴로 눈물이 왈칵 쏟아진다 해도 환하게 웃을 오늘 너에게 서러운 일이 생긴다면 오래전 그날처럼 달려가 안아주고파아름답게 빛나길 알고 있니 숫자 두근대는 맘은 아직까지 여기에 언제까지나 하나뿐인 좋아한단 말은 웃음 짓게 해내 때로는 지쳐 울어도 당신과 사랑에 빠지고 싶어 눈을 감으니 곁에 같아 기억해줘 숫자 보고 싶은 사람 이만 줄일게 안녕,0,1,0.5,1
1,맛있었다 고 했던 살구빛 샐러드 맛있어서 먹고 싶어 좋아했던 것들을 나에게 자그마한 행복들 달력 안 기념일들로 채워지네 채워지네 좋아했던 살구빛 샐러드 그날은 샐러드 기념일 우후나 좋아하던 멜로디언 소리 그날은 멜로디 기념일 라라라나 예뻤었다고 했던 조그만 고양이 귀여워서 보고 싶어 좋아했던 것들을 나에게 자그마한 고양이들 방에 한가득하게 채워지네 살구빛 그날은 기념일 좋아하던 멜로디언 소리 멜로디 라라라나 좋아하던 멜로디언 소리 멜로디 라라라나,0,1,0.438,0
2,마주치는 눈빛에 아기 아기 왠지 어색해 대체 고개를 숙여봐도 발끝에 맘이 설레 두근대 두근대 두근대네 발이 조금씩 내게로 천천히 한 걸음걸음 가까워지잖아숨길 수 없어진 맘은 커져만 가는데 어서 어서 살며시 고개 들어 보면도 볼에 살짝 입 맞춰줘 하시겠습니까 혼자서 아주 오래 바라왔던 동화 순간이 당신을 하시겠습니까 오늘은 꼭 생기길 기도해 볼래한 발 두 발 뛰는 맘 발끝이 닿을 같아나 어떡해야 머릿속이 새하얗게 돼 괜스레 장난스레 한 발 물러서 멈춰 서면 다가와 다가와 다가와 점점 커지는 심장의 발걸음 어쩌면 네게 들릴 것만 같아한 가까이 너에게 먼저 다가갈까 어서 살며시 고개 들어 보면도 볼에 살짝 입 맞춰줘 하시겠습니까 혼자서 아주 오래 바라왔던 동화 순간이 당신을 오늘은 꼭 생기길 기도해 볼래 소년이 소년이 될 것인가 망설이지 말아 줘 사랑 갑자기고개 숙여 향해도 볼에 살짝 입 맞춘 놀라서 고개 들어 보면 아무 말 없이 안아줄래 품에 포근하게 어쩐지 맘이 간지러워한 쪽 발이 하늘로 날아 당신을 마음도 오를 같아 수줍게 간직했던 가슴속비밀 오늘은 이뤄지길 기도해 볼래,0,1,0.571,1
3,어깨동무까진 괜찮아 치마 손잡는 건 위험해 잘 자란 메세 진 괜찮아그래도 자냐는 메세 진 안 돼심심할 연락해 커피 한 잔은 좋아요 늦은 술 한 잔은 안 돼가끔 전화는 좋아요 영상통화는 고맙지 만 사양할 아무래도 어색해서 못해 사이엔 둘만 모르게 그어진 선 있나 친구라 하기엔 가까운 같은데 선 위에 있나 봐넘어와 소년 넘어와 소녀 어색해지면 어쩌지 뻘쭘해지면 어쩌지 넘어와 소년 넘어와 소녀 눈 감고 다가가 볼까 살짝 기대는 어깨 거기까지는 좋아요 사실 지금도 좋은데 다가와도 멀어질까 걱정돼 아직 준비 안 된 같아 사이엔 둘만 모르게 그어진 선 있나 친구라 하기엔 가까운 같은데 위에 사이엔 둘만 모르게 그어진 친구라 하기엔 가까운 같은데 위에 봐넘어와 소년 소녀 어색해지면 어쩌지 뻘쭘해지면 눈 감고 다가가 볼까,0,1,0.417,0
4,햇살이 가득 그댈 향한 가벼운 발걸음 콧노래 부르며 쇼윈도에 비친 모습을 한번 점검해 시간은 충분해 오늘 그대와 얘기를 나눌까 어딜 가볼까 저기에 그녀가 보이네요 오늘은 기분 좋은 미소가 가득 나도 모르게 웃음이 그녈 생각하면 모습 그녀 맘에 들지 않을까 신경 쓰여 오늘 그대와 팔짱을 끼면 어떨까 손잡아 볼까 저기에 그녀가 보이네요 오늘은 기분 좋은 하늘 위를 기분이 걸까 오글댄 새콤달콤 마음은 두근두근 기분이 분홍빛 장미를 닮은 아름다운 그녀의 모습 오늘은 어떨까 상상만으로 터져버릴 듯한 기분 어쩌면 오늘 그대와 얘기를 나눌까 어딜 가볼까 저기에 그녀가 보이네요 향해 손을 흔드네요 눈앞에 좋은,0,1,0.545,1
5,세상에서 가장 행복한 말 더욱 듣고픈 말 고마운 말 살리는 사랑해 그댈 쑥스러워 평생 못하는 더욱 하고픈 미안한 눈물 사랑해 그댈 사랑해 마음은 굴뚝인데 핑계 핑계로 미뤄뒀지 말이야 말아내 진심은 말이야 나에겐 누구보다 소중한 사람 언제나 곁에 있어서 깜빡 잊고 살지만 눈물 고마운 사람 언제나 있어줘 그대 기쁜 맘을 알아줘멋쩍어서 내내 감추는 맘 열고픈 맘 든든한 맘 따뜻한 그댈 마음은 안 툴툴거리고 짜증 냈지 말이야 말아내 진심은 나에겐 누구보다 소중한 사람 언제나 곁에 있어서 깜빡 잊고 살지만 눈물 고마운 있어줘 그대 기쁜 맘을 알아줘 이것저것 재지 않아도 별다른 이유 찾지 않아도 믿어줄 감싸줄 지켜 힘이 돼 좋은 사랑 해이 세상 누구보다 소중한 곁에 있어서 깜빡 잊고 살지만 있어줘 그대 기쁜 맘을 알아줘,0,1,0.667,1
6,아기 사랑은 결코 좋았다는 느낌이 들지 않고 붙잡고 것처럼 의심의 여지가 없다 당신을 사랑하고 생명을 사랑하고를 사랑합니다는 결코 붙잡는 것처럼 의심의 여지 가라면 의심의 여지가 없을 것입니다 사랑하는 생명 바빌로프 미친 바 빌 로브는 결코 굿바이 바 빌로우 느낌이 절대 느껴지지 않았다고 느꼈다 밤이 될 거야를 기다릴 수 없다 은 좋은 느낌이 선한 좋다고 느꼈습니다,0,1,0.3,0
7,사랑 그게 뭔지 아직도 궁금해나는 사랑에 대해 생각하고 있다고 생각하고 생각할수록 답이 멀어져 만 가는 같아 잘 모르겠어돌고 도는 쳇바퀴에 맞춰지는 퍼즐 게임 보드 그걸 원하는 건 아닐 말이야 왔다 가는 인연 스쳐 가는 많은 우연 아직 기다리고 운명 마음은 향한 녹색 빛 녹색 빛 머리는 향한 빨간색 라이트 레드 라이트 깜빡이는 신호가 서두르게 스쳐가는 인연인가 녹색 빛 라이트 우레 레드 우주 좋은 예감보다 앞서버린 희망 은 사랑에 대한 생각을 생각합니다 똑같은 실수 어김없이 반복해 안에 켜져 버린 빨간불 돌고 도는 쳇바퀴에 지쳐가는 마인드 컨트롤 그걸 원하는 건 아닐 말이야 왔다가는 인연 스쳐가는 많은 우연 아직 기다리고 운명 마음은 향한 머리는 빨간색 레드 깜빡이는 신호가 서두르게 스쳐가는 인연인가 루 붉은 우에 그린라이트 우에 그린라이트 빛에서 빛에서 빛에서 마음은 머리는 빨간색 깜빡이는 신호가 서두르게 인연인가 우레 우주,0,1,0.571,1
8,오늘 밤 바래다주는 길 내내 변했다 고 말 하지 생각하지 않는다 고 너는 투덜대지 언제나 사랑이 설렘이니 내겐 사랑은 익숙함 떠올리는 시간을 따로 두진 않아 늘 생각해 생각해바쁜 하루의 순간순간 순간도 보여 보여줄 순 없지만 조금은 너도 느끼잖아 늘 생각해 매일 생각해 잠이 들어 꿈꾸는 순간도 앞에 웃는 기억나 처음 고백했던 그날 멋진 이벤트도 없었지만 받아준 가슴에 늘 지금처럼 생각해바쁜 하루의 순간순간 순간도 보여 보여줄 순 없지만 조금은 너도 느끼잖아 매일 잠이 들어 꿈꾸는 앞에 웃는 한 순간순간 순간이 소중해서 말로 할 수는 없지만 조금씩 네게 보여줄게 매일 생각해이른 아침잠에서 깨어나 세상에서 가장 행복한 앞에 웃는 보며 사랑해요,0,1,0.4,0
9,그냥 사랑에 빠지고 싶어 그래에 모든 것만 남이란 상상만으로도 눈부신 낭만의 시작한 잔의 진한 설렘에 향기가 온몸으로 퍼지는 환상의 슬며시 두 볼이 붉어진 연인들이 단풍 잎새처럼 느껴질 쓸쓸함이란 씨앗에 핀 사랑들이 무르익는 계절의 소식 마음에 번지는 흥분과 넘치는 기쁨에 뿜어지는 눈물들이 며칠을 잠을 깨워 깨워 밤새워 애 태워 봐도 그리움 못 채워 끄적 편지만 글자 보고 싶은 사람의 얼굴만 자꾸자꾸 떠오 르네 떠오 르네 그냥 쓰고 싶어 보다 외로움 보다 둘의 행복함 워 어어어 낮과 밤은 사라지는 사랑의 기적 요열과 성과 진심으로 전한 사랑의 결과는 기분 좋은 변화로 믿음이라는 굳은살이 박이고 아끼고픈 욕심에 푹 빠지고 살기 좋은 삶이란 이야기만 지나칠 만큼 입에 맴돌아달콤한 말보다 사소함을 챙길 맺는 두 사람의 교감 아주 자주 아픈 말을 낳는 질투가 주는 실수는 비뚤어진 입을 길들여 이해하기 인정하기를 기억하고 실천하길 넓은 가슴이 즐겨 먹는 사랑은 맛있어 달 빛 젖은 햇살 머금은 세상의 선물 워 어어어지켜줄께 아껴줄게 영원의 주문 새롭게 느끼게 합니다 값진 사랑 반쪽을 갈라 서로 나누어 언제나 가슴에 품고서 모든 순간 함께해 웃음이 번지고 행복함은 넘치고 기쁨도 커지고 모두가 지금이 노래를 부릅니다 사랑은 맛있어 달 빛 젖은 햇살 머금은 세상의 선물 워 어어어지켜줄께 아껴줄게 영원의 주문 새롭게 느끼게 합니다 값진 사랑 반쪽을 갈라 서로 나누어 언제나 가슴에 품고서 모든 순간 함께해,0,1,0.615,1
