Lyrics,pos,pos_score,neg,neg_score,total,total_score
1번,긍정,7,부정,7,점수,0
2번,긍정,6,부정,9,점수,-3
3번,긍정,9,부정,6,점수,3
4번,긍정,4,부정,5,점수,-1
5번,긍정,2,부정,2,점수,0
6번,긍정,6,부정,5,점수,1
7번,긍정,8,부정,4,점수,4
8번,긍정,7,부정,11,점수,-4
9번,긍정,8,부정,6,점수,2
10번,긍정,4,부정,10,점수,-6
11번,긍정,9,부정,6,점수,3
12번,긍정,6,부정,2,점수,4
13번,긍정,5,부정,9,점수,-4
14번,긍정,4,부정,10,점수,-6
15번,긍정,5,부정,4,점수,1
16번,긍정,5,부정,8,점수,-3
17번,긍정,10,부정,3,점수,7
18번,긍정,8,부정,6,점수,2
19번,긍정,7,부정,5,점수,2
20번,긍정,7,부정,9,점수,-2
21번,긍정,6,부정,8,점수,-2
22번,긍정,5,부정,6,점수,-1
23번,긍정,1,부정,4,점수,-3
24번,긍정,6,부정,11,점수,-5
25번,긍정,7,부정,8,점수,-1
26번,긍정,10,부정,5,점수,5
27번,긍정,6,부정,4,점수,2
28번,긍정,8,부정,9,점수,-1
29번,긍정,6,부정,7,점수,-1
30번,긍정,6,부정,11,점수,-5
31번,긍정,5,부정,8,점수,-3
32번,긍정,5,부정,7,점수,-2
33번,긍정,10,부정,5,점수,5
34번,긍정,5,부정,2,점수,3
35번,긍정,4,부정,7,점수,-3
36번,긍정,5,부정,6,점수,-1
37번,긍정,12,부정,5,점수,7
38번,긍정,9,부정,8,점수,1
39번,긍정,8,부정,6,점수,2
40번,긍정,3,부정,5,점수,-2
41번,긍정,7,부정,7,점수,0
42번,긍정,7,부정,8,점수,-1
43번,긍정,7,부정,5,점수,2
44번,긍정,8,부정,7,점수,1
45번,긍정,5,부정,9,점수,-4
46번,긍정,9,부정,3,점수,6
47번,긍정,7,부정,6,점수,1
48번,긍정,7,부정,7,점수,0
49번,긍정,9,부정,8,점수,1
50번,긍정,4,부정,6,점수,-2
51번,긍정,3,부정,5,점수,-2
52번,긍정,7,부정,3,점수,4
53번,긍정,6,부정,10,점수,-4
54번,긍정,5,부정,9,점수,-4
55번,긍정,6,부정,5,점수,1
56번,긍정,4,부정,3,점수,1
57번,긍정,5,부정,11,점수,-6
58번,긍정,6,부정,8,점수,-2
59번,긍정,6,부정,5,점수,1
60번,긍정,3,부정,11,점수,-8
61번,긍정,10,부정,4,점수,6
62번,긍정,3,부정,12,점수,-9
63번,긍정,8,부정,6,점수,2
64번,긍정,7,부정,8,점수,-1
65번,긍정,6,부정,14,점수,-8
66번,긍정,10,부정,3,점수,7
67번,긍정,7,부정,5,점수,2
68번,긍정,6,부정,9,점수,-3
69번,긍정,6,부정,8,점수,-2
70번,긍정,10,부정,5,점수,5
71번,긍정,5,부정,9,점수,-4
72번,긍정,6,부정,4,점수,2
73번,긍정,6,부정,10,점수,-4
74번,긍정,8,부정,12,점수,-4
75번,긍정,9,부정,7,점수,2
76번,긍정,7,부정,8,점수,-1
77번,긍정,6,부정,6,점수,0
78번,긍정,8,부정,9,점수,-1
79번,긍정,9,부정,6,점수,3
80번,긍정,9,부정,7,점수,2
81번,긍정,8,부정,5,점수,3
82번,긍정,8,부정,7,점수,1
83번,긍정,9,부정,4,점수,5
84번,긍정,6,부정,3,점수,3
85번,긍정,8,부정,5,점수,3
86번,긍정,6,부정,6,점수,0
87번,긍정,6,부정,6,점수,0
88번,긍정,3,부정,8,점수,-5
89번,긍정,12,부정,9,점수,3
90번,긍정,6,부정,10,점수,-4
91번,긍정,7,부정,4,점수,3
92번,긍정,4,부정,9,점수,-5
93번,긍정,6,부정,8,점수,-2
94번,긍정,14,부정,3,점수,11
95번,긍정,9,부정,6,점수,3
96번,긍정,7,부정,13,점수,-6
97번,긍정,3,부정,10,점수,-7
98번,긍정,8,부정,4,점수,4
99번,긍정,8,부정,8,점수,0
100번,긍정,9,부정,4,점수,5
101번,긍정,8,부정,4,점수,4
102번,긍정,9,부정,8,점수,1
103번,긍정,11,부정,4,점수,7
104번,긍정,10,부정,7,점수,3
105번,긍정,9,부정,8,점수,1
106번,긍정,9,부정,7,점수,2
107번,긍정,10,부정,0,점수,10
108번,긍정,7,부정,6,점수,1
109번,긍정,8,부정,5,점수,3
110번,긍정,2,부정,10,점수,-8
111번,긍정,10,부정,7,점수,3
112번,긍정,0,부정,0,점수,0
113번,긍정,0,부정,0,점수,0
114번,긍정,4,부정,4,점수,0
115번,긍정,7,부정,9,점수,-2
116번,긍정,5,부정,7,점수,-2
117번,긍정,6,부정,4,점수,2
118번,긍정,5,부정,6,점수,-1
119번,긍정,8,부정,9,점수,-1
120번,긍정,10,부정,6,점수,4
121번,긍정,9,부정,10,점수,-1
122번,긍정,6,부정,5,점수,1
123번,긍정,8,부정,6,점수,2
124번,긍정,7,부정,5,점수,2
125번,긍정,9,부정,6,점수,3
126번,긍정,5,부정,6,점수,-1
127번,긍정,8,부정,10,점수,-2
128번,긍정,5,부정,5,점수,0
129번,긍정,6,부정,4,점수,2
130번,긍정,7,부정,6,점수,1
131번,긍정,7,부정,6,점수,1
132번,긍정,7,부정,7,점수,0
133번,긍정,9,부정,7,점수,2
134번,긍정,6,부정,10,점수,-4
135번,긍정,8,부정,6,점수,2
136번,긍정,6,부정,8,점수,-2
137번,긍정,8,부정,8,점수,0
138번,긍정,10,부정,3,점수,7
139번,긍정,7,부정,6,점수,1
140번,긍정,14,부정,7,점수,7
141번,긍정,5,부정,10,점수,-5
142번,긍정,10,부정,10,점수,0
143번,긍정,12,부정,0,점수,12
144번,긍정,7,부정,9,점수,-2
145번,긍정,3,부정,8,점수,-5
146번,긍정,5,부정,5,점수,0
147번,긍정,13,부정,5,점수,8
148번,긍정,9,부정,6,점수,3
149번,긍정,4,부정,5,점수,-1
150번,긍정,9,부정,5,점수,4
151번,긍정,9,부정,6,점수,3
152번,긍정,8,부정,8,점수,0
153번,긍정,10,부정,4,점수,6
154번,긍정,2,부정,8,점수,-6
155번,긍정,7,부정,9,점수,-2
156번,긍정,4,부정,3,점수,1
157번,긍정,5,부정,6,점수,-1
158번,긍정,10,부정,7,점수,3
159번,긍정,8,부정,4,점수,4
160번,긍정,7,부정,5,점수,2
161번,긍정,3,부정,7,점수,-4
162번,긍정,7,부정,7,점수,0
163번,긍정,5,부정,5,점수,0
164번,긍정,10,부정,2,점수,8
165번,긍정,9,부정,6,점수,3
166번,긍정,2,부정,1,점수,1
167번,긍정,6,부정,2,점수,4
168번,긍정,7,부정,7,점수,0
169번,긍정,0,부정,1,점수,-1
170번,긍정,5,부정,5,점수,0
171번,긍정,7,부정,7,점수,0
172번,긍정,6,부정,7,점수,-1
173번,긍정,8,부정,8,점수,0
174번,긍정,9,부정,9,점수,0
175번,긍정,8,부정,11,점수,-3
176번,긍정,5,부정,8,점수,-3
177번,긍정,8,부정,6,점수,2
178번,긍정,10,부정,5,점수,5
179번,긍정,8,부정,8,점수,0
180번,긍정,10,부정,7,점수,3
181번,긍정,6,부정,8,점수,-2
182번,긍정,8,부정,9,점수,-1
183번,긍정,5,부정,7,점수,-2
184번,긍정,7,부정,11,점수,-4
185번,긍정,9,부정,7,점수,2
186번,긍정,9,부정,5,점수,4
187번,긍정,6,부정,8,점수,-2
188번,긍정,4,부정,10,점수,-6
189번,긍정,7,부정,5,점수,2
190번,긍정,8,부정,7,점수,1
191번,긍정,6,부정,10,점수,-4
192번,긍정,9,부정,8,점수,1
193번,긍정,8,부정,5,점수,3
194번,긍정,10,부정,7,점수,3
195번,긍정,5,부정,6,점수,-1
196번,긍정,5,부정,11,점수,-6
197번,긍정,9,부정,6,점수,3
198번,긍정,7,부정,4,점수,3
199번,긍정,6,부정,8,점수,-2
200번,긍정,7,부정,8,점수,-1
201번,긍정,9,부정,5,점수,4
202번,긍정,7,부정,3,점수,4
203번,긍정,5,부정,10,점수,-5
204번,긍정,7,부정,7,점수,0
205번,긍정,1,부정,4,점수,-3
206번,긍정,9,부정,9,점수,0
207번,긍정,7,부정,7,점수,0
208번,긍정,7,부정,7,점수,0
209번,긍정,7,부정,1,점수,6
210번,긍정,8,부정,5,점수,3
211번,긍정,4,부정,1,점수,3
212번,긍정,8,부정,4,점수,4
213번,긍정,7,부정,10,점수,-3
214번,긍정,5,부정,5,점수,0
215번,긍정,5,부정,8,점수,-3
216번,긍정,5,부정,5,점수,0
217번,긍정,5,부정,7,점수,-2
218번,긍정,9,부정,8,점수,1
219번,긍정,6,부정,5,점수,1
220번,긍정,5,부정,7,점수,-2
221번,긍정,5,부정,4,점수,1
222번,긍정,1,부정,4,점수,-3
223번,긍정,3,부정,7,점수,-4
224번,긍정,4,부정,6,점수,-2
225번,긍정,8,부정,5,점수,3
226번,긍정,7,부정,6,점수,1
227번,긍정,8,부정,10,점수,-2
228번,긍정,5,부정,7,점수,-2
229번,긍정,6,부정,7,점수,-1
230번,긍정,6,부정,6,점수,0
231번,긍정,0,부정,1,점수,-1
232번,긍정,7,부정,10,점수,-3
233번,긍정,9,부정,9,점수,0
234번,긍정,4,부정,10,점수,-6
235번,긍정,8,부정,5,점수,3
236번,긍정,6,부정,5,점수,1
237번,긍정,5,부정,7,점수,-2
238번,긍정,6,부정,9,점수,-3
239번,긍정,7,부정,5,점수,2
240번,긍정,4,부정,11,점수,-7
